STATION,NAME,DATE,AVG,TMAX,TMIN
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/26/71,,58,43
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/27/71,,66,40
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/28/71,,71,43
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/29/71,,78,48
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/30/71,,78,53
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",5/31/71,,86,59
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/1/71,,77,59
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/2/71,,79,54
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/3/71,,90,58
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/4/71,,90,68
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/5/71,,91,65
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/6/71,,87,65
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/7/71,,79,63
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/8/71,,75,61
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/9/71,,80,63
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/10/71,,86,67
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/11/71,,87,70
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/12/71,,91,70
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/13/71,,87,70
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/14/71,,78,69
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/15/71,,83,68
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/16/71,,87,67
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/17/71,,87,68
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/18/71,,89,68
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/19/71,,95,75
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/20/71,,85,68
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/21/71,,82,62
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/22/71,,87,65
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/23/71,,88,63
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/24/71,,97,67
